assignment_id,instructor_id
ds_tech_bootcamp_fall21,i18
stat6021_fall21,i8
ds5100_fall21,i11
cs5012_fall21,i9
ds6030_fall21,i3
ds_biz_analytics_fall21,i14
ds5110_fall21,i2
ds5001_fall21,i23
ds6001_fall21,i6
ds6011_fall21,i9
ds6011_fall21,i19
ds6011_fall21,i6
ds6011_fall21,i1
ds6011_fall21,i4
ds6011_fall21,i12
ds6040_fall21,i3
ds6002_fall21,i21
ds6050_fall21,i24
ds6013_fall21,i20
ds6013_fall21,i25
ds_tech_bootcamp_su21,i18
stat6021_su21,i8
ds5100_su21,i16
cs5012_su21,i9
ds6030_su21,i19
ds5110_su21,i2
ds5001_su21,i23
ds6001_su21,i20
ds6011_su21,i20
ds6011_su21,i25
ds6040_su21,i25
ds6002_su21,i21
ds6050_su21,i22
ds6013_su21,i10
ds6012_su21,i21
ds6003_su21,i7
ds_tech_bootcamp_spr21,i18
stat6021_spr21,i8
ds5100_spr21,i11
cs5012_spr21,i17
ds6030_spr21,i15
ds5110_spr21,i2
ds5001_spr21,i23
ds6001_spr21,i10
ds6011_spr21,i10
ds6040_spr21,i3
ds6002_spr21,i13
ds6050_spr21,i22
ds6013_spr21,i20
ds6003_spr21,i7
ds6012_spr21,i13
sarc5400_spr21,i5
